32188,Allahabad,"Uttar Pradesh, India",Uttar Pradesh
34016,Jamshedpur,"Jharkhand, India",Jharkhand
35753,Pathankot,"Punjab, India",Punjab
100599,Islamabad,Pakistan,NA
33013,Chandigarh,"Chandigarh, India",Chandigarh
35906,Port Blair,"Andaman and Nicobar Islands, India",Andaman and Nicobar Islands
36096,Ranchi,"Jharkhand, India",Jharkhand
34881,Madurai,"Tamil Nadu, India",Tamil Nadu
34013,Jammu,"Jammu and Kashmir, India",Jammu and Kashmir
35019,Mangalore,"Karnataka, India",Karnataka
32188,Allahabad,"Uttar Pradesh, India",Uttar Pradesh
34016,Jamshedpur,"Jharkhand, India",Jharkhand
35753,Pathankot,"Punjab, India",Punjab
100214,Niagara Falls,"New York, United States",NY
32815,Bhubaneswar,"Orissa, India",Orissa
32817,Bhuj,"Gujarat, India",Gujarat
172654,Bhurban,Pakistan,NA
36928,Udaipur,"Rajasthan, India",Rajasthan
37276,Haridwar,"Uttaranchal, India",Uttaranchal
35334,Nainital,"Uttaranchal, India",Uttaranchal
32815,Bhubaneswar,"Orissa, India",Orissa
34016,Jamshedpur,"Jharkhand, India",Jharkhand
34707,Kullu,"Himachal Pradesh, India",Himachal Pradesh
35760,Patiala,"Punjab, India",Punjab
32809,Bhopal,"Madhya Pradesh, India",Madhya Pradesh
32817,Bhuj,"Gujarat, India",Gujarat
32771,Bhavnagar,"Gujarat, India",Gujarat
100067,Birmingham,United Kingdom,NA
100145,Birmingham,"Alabama, United States",AL
100530,Blenheim,New Zealand,NA
110387,Wooster,"Ohio, United States",OH
132397,Phetchaburi,Thailand,NA
101109,Bahia Blanca,Argentina,NA
113187,Banda Aceh,Indonesia,NA
32903,Bodhgaya,"Bihar, India",Bihar
109623,Gaylord,"Michigan, United States",MI
138005,Gaya Island,Malaysia,NA
171244,Gaylord,"Minnesota, United States",MN
152600,Gayton,United Kingdom,NA
32903,Bodhgaya,"Bihar, India",Bihar
101119,Cairo,Egypt,NA
100187,Knoxville,"Tennessee, United States",TN
109623,Gaylord,"Michigan, United States",MI
138005,Gaya Island,Malaysia,NA
101232,Maastricht,Netherlands,NA
140259,Maanshan,China,NA
150216,Maaseik,Belgium,NA
146529,Maalaea,"Hawaii, United States",HI
150925,Maardu,Estonia,NA
159856,Maasmechelen,Belgium,NA
173005,Maasser Al Chouf,Lebanon,NA
152584,Maagan,Israel,NA
142900,Maale Hachamisha,Israel,NA
143561,Maalot - Tarshiha,Israel,NA
101166,Guatemala City,Guatemala,NA
115617,Isla Mujeres,Mexico,NA
115617,Isla Mujeres,Mexico,NA
33184,Coimbatore,"Tamil Nadu, India",Tamil Nadu
101710,Cebu,Philippines,NA
116236,Antigua Guatemala,Guatemala,NA
101528,Colombo,Sri Lanka,NA
107842,Chumphon,Thailand,NA
101120,Cochabamba,Bolivia,NA
106081,Castlebar,Ireland,NA
102606,Calama,Chile,NA
100743,Clarksburg,"West Virginia, United States",WV
109849,Cut Bank,"Montana, United States",MT
33070,Chennai,"Tamil Nadu, India",Tamil Nadu
33119,Chikmaglur,"Karnataka, India",Karnataka
33159,Chittorgarh,"Rajasthan, India",Rajasthan
33113,Chidambaram,"Tamil Nadu, India",Tamil Nadu
33142,Chiplun,"Maharashtra, India",Maharashtra
181383,Chitradurga,"Karnataka, India",Karnataka
181355,Chittoor,"Andhra Pradesh, India",Andhra Pradesh
33156,Chitrakoot,"Madhya Pradesh, India",Madhya Pradesh
101718,Chiang Mai,Thailand,NA
100153,Chicago,"Illinois, United States",IL
106972,Chisinau,Moldova,NA
139539,Ordu,Turkey,NA
101888,Ordino,Andorra,NA
140353,Ordos,China,NA
173003,Orderville,"Utah, United States",UT
179895,Ordes,Spain,NA
157224,Orduna,Spain,NA
111982,Salford,United Kingdom,NA
137769,Ansalonga,Andorra,NA
162276,Muir of Ord,United Kingdom,NA
152707,Sankt Peter-Ording,Germany,NA
100153,Chicago,"Illinois, United States",IL
109134,Alsip,"Illinois, United States",IL
109143,Bridgeview,"Illinois, United States",IL
137416,Burbank,"Illinois, United States",IL
131143,Crestwood,"Illinois, United States",IL
109231,Oak Lawn,"Illinois, United States",IL
104570,Cahors,France,NA
139713,Cahuita,Costa Rica,NA
164750,Cahersiveen,Ireland,NA
169439,Cahagnes,France,NA
116305,Caherdaniel,Ireland,NA
160479,Caherconlish,Ireland,NA
138831,Cahir,Ireland,NA
109146,Cahokia,"Illinois, United States",IL
153358,Cahuzac-sur-Vere,France,NA
117317,Collinsville,"Illinois, United States",IL
113547,Cabourg,France,NA
107056,Cabo San Lucas,Mexico,NA
138355,Cabo Frio,Brazil,NA
103132,Cabarete,Dominican Republic,NA
142426,Cable Beach,"Western Australia, Australia",WA
138295,Cabezon de la Sal,Spain,NA
102336,Cabo De Santo Agostinho,Brazil,NA
152007,Cabanas de Tavira,Portugal,NA
139421,Cabras,Italy,NA
134239,Cabries,France,NA
100349,Cordoba,Argentina,NA
104612,Clermont Ferrand,France,NA
101123,Caen,France,NA
104873,Saint Cyr Sur Mer,France,NA
104617,Colmar,France,NA
100744,Casper,"Wyoming, United States",WY
100340,Cherbourg,France,NA
141545,Tysons Corner,"Virginia, United States",VA
111009,Brattleboro,"Vermont, United States",VT
118001,Bryan,"Texas, United States",TX
100162,Daytona Beach,"Florida, United States",FL
108641,Danbury,"Connecticut, United States",CT
100162,Daytona Beach,"Florida, United States",FL
103044,Rostock,Germany,NA
108641,Danbury,"Connecticut, United States",CT
100797,Terre Haute,"Indiana, United States",IN
131469,Port Orange,"Florida, United States",FL
146758,Holly Hill,"Florida, United States",FL
37290,Pachmarhi,"Madhya Pradesh, India",Madhya Pradesh
100693,Dubuque,"Iowa, United States",IA
101297,Doha,Qatar,NA
146823,Dohat el Hoss,Lebanon,NA
100111,Budapest,Hungary,NA
101297,Doha,Qatar,NA
101297,Doha,Qatar,NA
101297,Doha,Qatar,NA
101297,Doha,Qatar,NA
101710,Cebu,Philippines,NA
138186,Mandaue,Philippines,NA
154304,Herford,Germany,NA
148477,Dachau,Germany,NA
156035,Dacice,Czech Republic,NA
169888,Dachsen,Switzerland,NA
148477,Dachau,Germany,NA
148477,Dachau,Germany,NA
148477,Dachau,Germany,NA
100633,Male,Maldives,NA
175957,Novyye Bezradichi,Ukraine,NA
152763,Rawai Beach,Thailand,NA
106972,Chisinau,Moldova,NA
109459,Dedham,"Massachusetts, United States",MA
157462,Deddington,United Kingdom,NA
139465,Dededo,Guam,NA
156137,Dedham,"Maine, United States",ME
159323,Dedinky,Slovakia,NA
100721,Antalya,Turkey,NA
149984,Sfakaki,Greece,NA
105712,Crete,Greece,NA
105712,Crete,Greece,NA
151395,Jimbaran,Indonesia,NA
33360,Dharamshala,"Himachal Pradesh, India",Himachal Pradesh
33572,Gandhidham,"Gujarat, India",Gujarat
101298,Dortmund,Germany,NA
100164,Des Moines,"Iowa, United States",IA
101296,Dothan,"Alabama, United States",AL
110107,Deming,"New Mexico, United States",NM
148080,Den Helder,Netherlands,NA
110787,Dalhart,"Texas, United States",TX
111043,Beaver Dam,"Wisconsin, United States",WI
146692,Drama,Greece,NA
33390,Dibrugarh,"Assam, India",Assam
133646,Dibba,Oman,NA
109822,Diberville,"Mississippi, United States",MS
133185,Dibba,United Arab Emirates,NA
172921,Diboll,"Texas, United States",TX
178259,Dibuny,Russia,NA
33390,Dibrugarh,"Assam, India",Assam
33390,Dibrugarh,"Assam, India",Assam
100441,Nanning,China,NA
172921,Diboll,"Texas, United States",TX
33416,Diu,"Daman and Diu, India",Daman and Diu
117102,Decatur,"Alabama, United States",AL
110107,Deming,"New Mexico, United States",NM
109807,Sedalia,"Missouri, United States",MO
147527,Cam Lam,Vietnam,NA
148503,Dushanbe,Tajikistan,NA
33416,Diu,"Daman and Diu, India",Daman and Diu
101479,Decatur,"Illinois, United States",IL
117102,Decatur,"Alabama, United States",AL
118012,Decatur,"Texas, United States",TX
33222,Daman,"Daman and Diu, India",Daman and Diu
33416,Diu,"Daman and Diu, India",Daman and Diu
33416,Diu,"Daman and Diu, India",Daman and Diu
33416,Diu,"Daman and Diu, India",Daman and Diu
113166,Verbier,Switzerland,NA
133206,Dominical,Costa Rica,NA
103547,Conil De La Frontera,Spain,NA
160542,Canggu,Indonesia,NA
100165,Detroit,"Michigan, United States",MI
101298,Dortmund,Germany,NA
101665,Del Rio,"Texas, United States",TX
110787,Dalhart,"Texas, United States",TX
113796,Dumaguete,Philippines,NA
138433,Dat Do,Vietnam,NA
109703,Detroit Lakes,"Minnesota, United States",MN
118073,Delta,"Utah, United States",UT
100111,Budapest,Hungary,NA
100111,Budapest,Hungary,NA
109666,Romulus,"Michigan, United States",MI
109680,Taylor,"Michigan, United States",MI
109675,Southgate,"Michigan, United States",MI
100169,Fresno,"California, United States",CA
100168,Fort Myers,"Florida, United States",FL
100142,Austin,"Texas, United States",TX
100181,Houston,"Texas, United States",TX
105184,Edinburg,United Kingdom,NA
110020,Edison,"New Jersey, United States",NJ
139734,Edirne,Turkey,NA
118016,Edinburg,"Texas, United States",TX
117357,Edinburgh,"Indiana, United States",IN
160170,Ediger-Eller,Germany,NA
109706,Edina,"Minnesota, United States",MN
150537,Edingen-Neckarhausen,Germany,NA
110509,Edinboro,"Pennsylvania, United States",PA
115923,Edinburgh Airport,United Kingdom,NA
171039,Medvezh'yegorsk,Russia,NA
140418,Leduc,"Alberta, Canada",AB
141292,Nisku,"Alberta, Canada",AB
106903,Astana,Kazakhstan,NA
158078,Yeadon,United Kingdom,NA
100574,Sligo,Ireland,NA
100490,Deauville,France,NA
151866,Near Sawrey,United Kingdom,NA
100076,Singapore,Singapore,NA
114270,Lijiang City,China,NA
101431,Porto,Portugal,NA
100574,Sligo,Ireland,NA
138547,Rosses Point,Ireland,NA
100574,Sligo,Ireland,NA
162302,Els Poblets,Spain,NA
151756,Elsenham,United Kingdom,NA
167151,Elsendorp,Netherlands,NA
148860,Elst,Netherlands,NA
155703,Elsterwerda,Germany,NA
153095,Els Hostalets,Spain,NA
148247,Elsah,"Illinois, United States",IL
131584,Elsbethen,Austria,NA
167749,Elsegem,Belgium,NA
164638,Elsigbach,Switzerland,NA
33013,Chandigarh,"Chandigarh, India",Chandigarh
100404,Ipoh,Malaysia,NA
105292,Ipswich,United Kingdom,NA
116255,Invercargill,New Zealand,NA
100405,Williamsport,"Pennsylvania, United States",PA
146297,Imperial,"California, United States",CA
